                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.658,                  1.736,                 1.0852,                0.47159,                0.36258,                0.32472,                0.09819,                 2.8111,                 1.8699,                 1.1565,             0.00064865,             0.00064865,             0.00064865
                      2,                 2.6436,                 1.7004,                 1.0958,                0.53423,                0.39059,                0.37437,                0.11524,                  2.603,                 1.7189,                 1.0771,              0.0013023,              0.0013023,              0.0013023
                      3,                 2.6235,                 1.6901,                 1.0706,                0.54448,                0.44436,                0.45107,                0.15684,                 2.4377,                 1.5977,                 1.0522,              0.0019427,              0.0019427,              0.0019427
                      4,                 2.6174,                 1.6914,                   1.07,                 0.5378,                0.44511,                0.43951,                0.14362,                 2.5655,                 1.6041,                 1.0917,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.6191,                 1.6794,                 1.0682,                0.51021,                0.38648,                0.39536,                0.12926,                 2.5368,                 1.6284,                 1.0639,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.5838,                 1.6476,                 1.0588,                0.57505,                0.48432,                 0.5055,                0.17667,                 2.3936,                 1.5309,                 1.0498,               0.001901,               0.001901,               0.001901
                      7,                 2.5674,                 1.6511,                 1.0573,                0.18596,                0.16355,                0.07913,                0.01687,                 3.6478,                 1.9995,                 1.2443,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.5589,                  1.639,                   1.06,                0.31325,                0.28006,                0.19444,                0.05005,                 2.9784,                 1.8739,                  1.118,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.5337,                 1.6216,                 1.0512,                0.22984,                0.19791,                0.09969,                 0.0239,                 3.3099,                 2.0663,                 1.1873,              0.0018416,              0.0018416,              0.0018416
                     10,                  2.479,                 1.5812,                 1.0285,                0.41241,                0.31068,                0.24629,                0.06435,                 2.9399,                 1.7582,                 1.1153,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.4987,                 1.5832,                 1.0349,                0.53342,                0.43246,                0.42077,                0.13136,                 2.4312,                 1.6472,                 1.0383,               0.001802,               0.001802,               0.001802
                     12,                 2.5026,                 1.5991,                 1.0351,                 0.1797,                0.14638,                0.06692,                0.01442,                 3.7588,                 2.1075,                 1.2846,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.4724,                 1.5635,                 1.0427,                0.54049,                 0.4379,                 0.4347,                0.13698,                  2.405,                 1.5829,                 1.0258,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.4376,                 1.5475,                 1.0326,                0.62321,                0.49965,                0.52274,                 0.1794,                 2.3134,                 1.4903,                 1.0175,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.4821,                 1.5405,                 1.0385,                0.62321,                0.49328,                 0.5351,                0.18976,                 2.2861,                 1.4711,                 1.0168,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.4814,                 1.5563,                  1.037,                0.58612,                0.45519,                0.46291,                0.15272,                  2.371,                 1.5183,                 1.0211,               0.001703,               0.001703,               0.001703
                     17,                 2.4484,                 1.5413,                 1.0302,                0.48319,                0.38013,                0.33646,                0.09899,                 2.5454,                 1.6382,                 1.0521,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.4192,                 1.4975,                 1.0111,                 0.4901,                 0.3947,                0.35801,                0.09978,                 2.7168,                 1.6328,                 1.0729,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.3958,                 1.4745,                 1.0293,                0.48606,                0.44698,                0.38663,                 0.1133,                 2.4801,                 1.6589,                  1.037,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.4379,                 1.5327,                 1.0273,                0.57553,                0.46884,                0.49641,                0.16206,                 2.3886,                 1.5207,                 1.0198,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.4098,                 1.4948,                 1.0196,                0.61887,                0.50569,                0.51351,                0.17628,                 2.3263,                 1.4687,                 1.0159,               0.001604,               0.001604,               0.001604
                     22,                 2.4008,                  1.491,                 1.0197,                0.56912,                0.44548,                0.44175,                0.13324,                 2.4307,                 1.5438,                 1.0285,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.3879,                 1.4821,                 1.0243,                 0.6573,                0.52068,                0.56112,                0.19896,                 2.2582,                 1.4261,                 1.0094,              0.0015644,              0.0015644,              0.0015644
                     24,                  2.404,                 1.4719,                 1.0166,                0.55791,                0.47498,                0.45966,                0.13997,                  2.458,                 1.5362,                 1.0306,              0.0015446,              0.0015446,              0.0015446
                     25,                  2.414,                 1.4696,                 1.0114,                0.64184,                0.46303,                0.50565,                0.17257,                  2.321,                 1.4754,                 1.0171,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.3975,                 1.4838,                 1.0149,                0.67818,                0.52801,                0.59269,                0.21501,                 2.2152,                  1.409,                 1.0051,               0.001505,               0.001505,               0.001505
                     27,                 2.4329,                 1.4554,                 1.0145,                0.68379,                0.53286,                0.57411,                0.20421,                 2.2794,                 1.4091,                 1.0135,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.3656,                 1.4474,                 1.0058,                0.55753,                0.47722,                0.46008,                0.14741,                 2.3925,                 1.5219,                 1.0224,              0.0014654,              0.0014654,              0.0014654
